username,password,description,merchant,amount,date,category
test46@gmail.com,test46,coffee,star,2.9,1/9/2019,food
test47@gmail.com,test47,coffee,star,2.9,1/10/2019,food
test48@gmail.com,test48,coffee,star,2.9,1/11/2019,food
test49@gmail.com,test49,coffee,star,2.9,1/12/2019,food
test50@gmail.com,test50,coffee,star,2.9,1/13/2019,food
test51@gmail.com,test51,coffee,star,2.9,1/14/2019,food
test52@gmail.com,test52,coffee,star,2.9,1/15/2019,food
test53@gmail.com,test53,coffee,star,2.9,1/16/2019,food
test54@gmail.com,test54,coffee,star,2.9,1/17/2019,food
test55@gmail.com,test55,coffee,star,2.9,1/18/2019,food
test56@gmail.com,test56,coffee,star,2.9,1/19/2019,food
test57@gmail.com,test57,coffee,star,2.9,1/20/2019,food
test58@gmail.com,test58,coffee,star,2.9,1/21/2019,food
test59@gmail.com,test59,coffee,star,2.9,1/22/2019,food
test60@gmail.com,test60,coffee,star,2.9,1/23/2019,food
test61@gmail.com,test61,coffee,star,2.9,1/24/2019,food
test62@gmail.com,test62,coffee,star,2.9,1/25/2019,food
test63@gmail.com,test63,coffee,star,2.9,1/26/2019,food
test64@gmail.com,test64,coffee,star,2.9,1/27/2019,food
test65@gmail.com,test65,coffee,star,2.9,1/28/2019,food
test66@gmail.com,test66,coffee,star,2.9,1/29/2019,food
test67@gmail.com,test67,coffee,star,2.9,1/30/2019,food
test68@gmail.com,test68,coffee,star,2.9,1/31/2019,food
test69@gmail.com,test69,coffee,star,2.9,2/1/2019,food
test70@gmail.com,test70,coffee,star,2.9,2/2/2019,food
test71@gmail.com,test71,coffee,star,2.9,2/3/2019,food
test72@gmail.com,test72,coffee,star,2.9,2/4/2019,food
test73@gmail.com,test73,coffee,star,2.9,2/5/2019,food
test74@gmail.com,test74,coffee,star,2.9,2/6/2019,food
test75@gmail.com,test75,coffee,star,2.9,2/7/2019,food
test76@gmail.com,test76,coffee,star,2.9,2/8/2019,food
test77@gmail.com,test77,coffee,star,2.9,2/9/2019,food
test78@gmail.com,test78,coffee,star,2.9,2/10/2019,food
test79@gmail.com,test79,coffee,star,2.9,2/11/2019,food
test80@gmail.com,test80,coffee,star,2.9,2/12/2019,food
test81@gmail.com,test81,coffee,star,2.9,2/13/2019,food
test82@gmail.com,test82,coffee,star,2.9,2/14/2019,food
test83@gmail.com,test83,coffee,star,2.9,2/15/2019,food
test84@gmail.com,test84,coffee,star,2.9,2/16/2019,food
test85@gmail.com,test85,coffee,star,2.9,2/17/2019,food
test86@gmail.com,test86,coffee,star,2.9,2/18/2019,food
test87@gmail.com,test87,coffee,star,2.9,2/19/2019,food
test88@gmail.com,test88,coffee,star,2.9,2/20/2019,food
test89@gmail.com,test89,coffee,star,2.9,2/21/2019,food
test90@gmail.com,test90,coffee,star,2.9,2/22/2019,food
test91@gmail.com,test91,coffee,star,2.9,2/23/2019,food
test92@gmail.com,test92,coffee,star,2.9,2/24/2019,food
test93@gmail.com,test93,coffee,star,2.9,2/25/2019,food
test94@gmail.com,test94,coffee,star,2.9,2/26/2019,food
test95@gmail.com,test95,coffee,star,2.9,2/27/2019,food
test96@gmail.com,test96,coffee,star,2.9,2/28/2019,food
test97@gmail.com,test97,coffee,star,2.9,3/1/2019,food
test98@gmail.com,test98,coffee,star,2.9,3/2/2019,food
test99@gmail.com,test99,coffee,star,2.9,3/3/2019,food
test100@gmail.com,test100,coffee,star,2.9,3/4/2019,food
